,shopid,userid
1030,9490500,33
1031,9493048,6
1032,9497106,2
1033,9530275,2
1034,9593938,12
1035,9597511,7
1036,9611235,9
1037,9625812,2
1038,9639146,4
1039,9641401,241
1040,9656534,1
1041,9664839,44
1042,9670298,3
1043,9676950,101
1044,9677981,3
1045,9684704,78
1046,9688925,1
1047,9689507,114
1048,9690513,109
1049,9698290,2
1050,9717435,169
1051,9719059,46
1052,9722353,2
1053,9730345,1
1054,9756981,1
1055,9780129,6
1056,9780494,1
1057,9780782,10
1058,9782095,102
1059,9811974,19
1060,9817554,1
1061,9822771,1
1062,9837716,44
1063,9848376,1
1064,9853874,24
1065,9854477,2
1066,9880889,6
1067,9885746,1
1068,9885796,67
1069,9885980,6
1070,9886018,20
1071,9886045,3
1072,9912692,7
1073,9914371,31
1074,9916762,13
1075,9930397,4
1076,9934370,6
1077,9937200,51
1078,9939921,3
1079,9944513,22
1080,9971311,1
1081,10003504,1
1082,10005273,2
1083,10010348,22
1084,10011013,10
1085,10053260,4
1086,10063876,14
1087,10074104,1
1088,10074201,26
1089,10075073,73
1090,10083482,2
1091,10094244,8
1092,10094333,4
1093,10127206,2
1094,10127469,22
1095,10131460,19
1096,10156637,2
1097,10176886,1
1098,10179385,5
1099,10180341,1
1100,10185414,44
1101,10198652,6
1102,10199219,5
1103,10202952,64
1104,10203122,35
1105,10206302,46
1106,10207655,4
1107,10228730,53
1108,10233884,29
1109,10246772,17
1110,10255386,1
1111,10278029,26
1112,10333904,22
1113,10342387,16
1114,10343572,7
1115,10343599,11
1116,10349073,10
1117,10370643,5
1118,10384253,165
1119,10445843,5
1120,10448617,11
1121,10462400,7
1122,10496799,1
1123,10498480,47
1124,10577861,1
1125,10596997,1
1126,10615277,4
1127,10620761,7
1128,10621150,1
1129,10634098,1
1130,10644884,1
1131,10675977,11
1132,10678993,86
1133,10685129,4
1134,10686840,1
1135,10720260,2
1136,10725621,1
1137,10763290,1
1138,10802845,4
1139,10883196,3
1140,10884344,13
1141,10885840,63
1142,10888295,1
1143,10891360,159
1144,10915793,27
1145,10915894,269
1146,10917954,1
1147,10918500,7
1148,10923507,31
1149,10926029,3
1150,10928026,1
1151,10962650,1
1152,10967887,17
1153,10992880,8
1154,11013198,13
1155,11018558,3
1156,11018706,34
1157,11020063,18
1158,11039679,1
1159,11050324,3
1160,11051083,49
1161,11137326,1
1162,11151925,1
1163,11174650,2
1164,11175204,1
1165,11177429,1
1166,11186602,6
1167,11194196,5
1168,11211738,28
1169,11219663,1
1170,11237119,14
1171,11237397,4
1172,11238223,35
1173,11241526,51
1174,11252572,2
1175,11263516,8
1176,11271939,66
1177,11272000,21
1178,11276646,3
1179,11278543,1
1180,11284464,74
1181,11286254,7
1182,11286614,6
1183,11288487,1
1184,11289140,16
1185,11292840,2
1186,11323894,2
1187,11323906,8
1188,11341276,1
1189,11342466,56
1190,11355105,9
1191,11411322,7
1192,11424929,1
1193,11425471,213
1194,11428474,2
1195,11434776,18
1196,11435348,6
1197,11436014,2
1198,11449185,1
1199,11466819,1
1200,11474407,4
1201,11474437,35
1202,11509276,1
1203,11509563,2
1204,11509993,1
1205,11564859,9
1206,11569559,32
1207,11588846,1
1208,11596986,2
1209,11604560,11
1210,11612863,32
1211,11660410,90
1212,11713695,6
1213,11719013,12
1214,11720770,7
1215,11722703,1
1216,11729465,10
1217,11735390,4
1218,11777004,8
1219,11809607,41
1220,11824880,1
1221,11849988,17
1222,11850040,13
1223,11870800,36
1224,11896733,159
1225,11897879,1
1226,11903315,4
1227,11955181,1
1228,11985799,3
1229,12015632,1
1230,12028807,10
1231,12049143,1
1232,12067888,67
1233,12069129,9
1234,12076626,14
1235,12078788,120
1236,12100435,3
1237,12107939,2
1238,12112156,5
1239,12152108,5
1240,12164287,29
1241,12165119,30
1242,12165742,34
1243,12166345,22
1244,12172935,2
1245,12216137,7
1246,12221170,1
1247,12243913,1
1248,12249378,6
1249,12273026,4
1250,12293612,1
1251,12351796,39
1252,12399291,5
1253,12405201,57
1254,12409211,1
1255,12436257,1
1256,12454721,16
1257,12466792,4
1258,12480907,66
1259,12487709,16
1260,12496837,2
1261,12500590,3
1262,12500653,3
1263,12500801,2
1264,12512432,3
1265,12513859,8
1266,12522006,1
1267,12530609,9
1268,12536959,25
1269,12537642,49
1270,12591446,13
1271,12597188,1
1272,12622901,2
1273,12661125,15
1274,12662873,133
1275,12664830,50
1276,12665482,8
1277,12666270,41
1278,12667503,17
1279,12667894,17
1280,12668556,10
1281,12669187,36
1282,12669474,16
1283,12669896,4
1284,12670165,6
1285,12692969,41
1286,12694316,57
1287,12695177,43
1288,12709662,32
1289,12714728,4
1290,12754731,4
1291,12791326,5
1292,12828222,1
1293,12839980,2
1294,12841612,8
1295,12852945,47
1296,12854905,2
1297,12855361,9
1298,12878356,1
1299,12908969,1
1300,12938022,2
1301,12953638,1
1302,12989242,9
1303,12990524,29
1304,12991104,5
1305,12995084,25
1306,12998987,71
1307,13010439,7
1308,13026492,146
1309,13033801,8
1310,13033941,12
1311,13034017,4
1312,13034191,6
1313,13040634,2
1314,13056041,24
1315,13089439,4
1316,13111103,5
1317,13126620,1
1318,13138381,3
1319,13172049,1
1320,13229849,4
1321,13300398,6
1322,13327074,2
1323,13347981,36
1324,13360949,3
1325,13363177,4
1326,13372067,4
1327,13390110,6
1328,13416945,4
1329,13436301,161
1330,13438237,1
1331,13441512,2
1332,13448324,42
1333,13451191,22
1334,13479515,2
1335,13480088,56
1336,13486527,58
1337,13494161,1
1338,13495361,19
1339,13530930,1
1340,13538662,3
1341,13576828,14
1342,13600944,3
1343,13661676,3
1344,13676621,18
1345,13700152,5
1346,13727679,5
1347,13734672,18
1348,13735592,26
1349,13756617,13
1350,13779275,7
1351,13782202,2
1352,13782287,1
1353,13782483,2
1354,13830581,8
1355,13840154,2
1356,13842071,268
1357,13844240,1
1358,13844511,76
1359,13845445,39
1360,13866306,1
1361,13978311,7
1362,13990978,1
1363,14021173,1
1364,14050429,11
1365,14061288,11
1366,14065830,8
1367,14066057,2
1368,14095076,12
1369,14097889,4
1370,14114849,4
1371,14115192,1
1372,14134779,35
1373,14136468,1
1374,14145886,26
1375,14146234,37
1376,14147284,9
1377,14174611,1
1378,14175352,2
1379,14181600,4
1380,14184981,6
1381,14211419,2
1382,14297919,8
1383,14333417,1
1384,14358046,2
1385,14390894,55
1386,14391714,16
1387,14420689,7
1388,14447885,1
1389,14482781,1
1390,14502059,1
1391,14509611,23
1392,14521441,11
1393,14548350,46
1394,14565270,16
1395,14568471,4
1396,14579409,1
1397,14583474,3
1398,14598427,57
1399,14631842,2
1400,14636830,5
1401,14640343,2
1402,14646941,43
1403,14648174,2
1404,14651234,1
1405,14654575,3
1406,14665818,2
1407,14670331,1
1408,14680759,2
1409,14681983,9
1410,14695339,3
1411,14695382,9
1412,14695820,2
1413,14722991,23
1414,14740499,6
1415,14746992,8
1416,14747632,62
1417,14761238,2
1418,14847256,1
1419,14871556,1
1420,14885158,31
1421,14888517,6
1422,14893503,2
1423,14896302,1
1424,14924365,6
1425,14925171,10
1426,14925755,3
1427,14943685,2
1428,14979278,6
1429,15037005,6
1430,15042184,17
1431,15049185,166
1432,15050500,35
1433,15055507,1
1434,15103870,1
1435,15159953,1
1436,15172855,17
1437,15235546,12
1438,15236712,70
1439,15271565,3
1440,15272119,3
1441,15287396,1
1442,15289750,14
1443,15290046,62
1444,15290976,3
1445,15335386,1
1446,15336163,14
1447,15367733,3
1448,15374175,5
1449,15386062,5
1450,15386323,1
1451,15402452,39
1452,15406109,6
1453,15450705,1
1454,15454852,1
1455,15478158,12
1456,15566063,1
1457,15579427,1
1458,15599627,31
1459,15602889,1
1460,15611828,11
1461,15612685,16
1462,15618985,274
1463,15620157,3
1464,15644272,4
1465,15651865,5
1466,15690156,9
1467,15742106,4
1468,15920950,6
1469,15933442,13
1470,15935038,36
1471,15939288,4
1472,15955144,3
1473,15961547,359
1474,16001939,65
1475,16006503,1
1476,16007057,2
1477,16012563,1
1478,16021373,3
1479,16022985,3
1480,16027971,33
1481,16037330,3
1482,16049246,1
1483,16073692,3
1484,16075841,2
1485,16157778,2
1486,16171243,1
1487,16174733,71
1488,16174997,321
1489,16175315,128
1490,16175676,26
1491,16175883,53
1492,16191840,2
1493,16194072,104
1494,16226024,6
1495,16232314,47
1496,16246487,13
1497,16246768,1
1498,16260523,2
1499,16282102,10
1500,16293797,5
1501,16296555,1
1502,16296879,8
1503,16305042,1
1504,16335119,4
1505,16343535,13
1506,16377551,1
1507,16379606,16
1508,16386086,7
1509,16391635,39
1510,16399179,44
1511,16399954,1
1512,16419002,1
1513,16443131,5
1514,16491690,1
1515,16519340,1
1516,16524014,6
1517,16525620,5
1518,16530705,1
1519,16569874,2
1520,16572352,58
1521,16573133,21
1522,16576029,6
1523,16579310,1
1524,16587763,6
1525,16598316,1
1526,16613121,204
1527,16613456,57
1528,16617513,8
1529,16617519,1
1530,16618662,47
1531,16629965,14
1532,16631090,1
1533,16635710,7
1534,16643222,1
1535,16647556,1
1536,16666326,15
1537,16666500,12
1538,16678431,1
1539,16678492,10
1540,16680589,6
1541,16687218,22
1542,16718470,2
1543,16727400,6
1544,16727847,52
1545,16732622,6
1546,16732896,33
1547,16754714,1
1548,16763244,1
1549,16764055,1
1550,16797946,1
1551,16801010,1
1552,16813344,1
1553,16850195,1
1554,16860220,2
1555,16864285,71
1556,16872255,6
1557,16875892,2
1558,16876197,1
1559,16909708,1
1560,16911785,1
1561,16915548,1
1562,16957045,5
1563,16973878,2
1564,16980173,1
1565,16985871,1
1566,17011899,18
1567,17012112,1
1568,17013217,1
1569,17020208,19
1570,17025264,76
1571,17030485,70
1572,17032156,14
1573,17072451,1
1574,17074854,3
1575,17079611,4
1576,17088210,1
1577,17106527,1
1578,17173058,1
1579,17174494,6
1580,17195716,3
1581,17205119,1
1582,17212658,9
1583,17217629,2
1584,17219984,8
1585,17236176,13
1586,17239015,2
1587,17241257,1
1588,17243348,3
1589,17256647,1
1590,17287844,17
1591,17312368,1
1592,17313814,1
1593,17335851,2
1594,17347918,10
1595,17381012,27
1596,17424566,31
1597,17429452,17
1598,17443033,15
1599,17445114,4
1600,17469117,1
1601,17483140,1
1602,17508347,1
1603,17563155,2
1604,17594493,7
1605,17594538,2
1606,17604335,19
1607,17628187,71
1608,17637832,3
1609,17651150,2
1610,17674116,21
1611,17678304,117
1612,17690724,86
1613,17740225,1
1614,17749654,87
1615,17780650,12
1616,17816159,9
1617,17823595,11
1618,17824459,125
1619,17838524,17
1620,17842027,82
1621,17861026,2
1622,17900571,1
1623,17908751,5
1624,17911218,62
1625,17914686,1
1626,17918802,3
1627,17922709,49
1628,17939870,3
1629,17965099,1
1630,18083587,9
1631,18092986,25
1632,18102456,3
1633,18103392,1
1634,18110403,3
1635,18140359,1
1636,18162078,9
1637,18173522,105
1638,18174855,26
1639,18177704,8
1640,18185692,24
1641,18190345,116
1642,18219559,1
1643,18229789,25
1644,18254273,36
1645,18268481,1
1646,18289354,4
1647,18307075,5
1648,18311141,1
1649,18316510,1
1650,18354006,3
1651,18358225,1
1652,18374409,1
1653,18378421,1
1654,18381281,5
1655,18449729,2
1656,18451430,2
1657,18487308,30
1658,18546553,2
1659,18552153,2
1660,18584105,5
1661,18584244,26
1662,18584284,44
1663,18584363,2
1664,18610581,3
1665,18640536,6
1666,18653929,2
1667,18654190,3
1668,18654294,5
1669,18671802,3
1670,18672068,6
1671,18689627,7
1672,18690987,7
1673,18696199,2
1674,18718983,10
1675,18723020,1
1676,18741492,33
1677,18746326,2
1678,18758200,1
1679,18784557,20
1680,18784700,4
1681,18784747,44
1682,18784836,54
1683,18784939,22
1684,18784986,3
1685,18785085,9
1686,18785091,41
1687,18789051,8
1688,18794361,4
1689,18794384,9
1690,18794513,12
1691,18796143,43
1692,18796234,32
1693,18796328,56
1694,18799352,5
1695,18821148,3
1696,18852163,1
1697,18852277,1
1698,18874944,1
1699,19001607,4
1700,19041109,22
1701,19051363,19
1702,19051557,36
1703,19051639,31
1704,19051703,31
1705,19051757,8
1706,19051805,3
1707,19051912,57
