shopid,userid
21596473,59
127248861,59
182869608,59
58382447,59
62795575,59
107189025,59
83408156,59
189741339,59
26056025,59
158129579,59
129916443,59
118122329,59
139268621,59
64394500,58
171423487,58
31500153,58
111696422,58
160135616,58
133345670,58
171947507,58
5030008,58
121742138,58
178273138,58
16572352,58
58543771,58
75214608,58
27996819,58
107932444,58
50969547,58
131671115,58
13486527,58
54257623,58
103741407,58
183460926,57
137491020,57
129917020,57
187532720,57
90339629,57
208624214,57
52362780,57
12694316,57
53261447,57
14598427,57
26167337,57
66408501,57
121733761,57
61510385,57
19051912,57
16613456,57
12405201,57
36641013,57
106025589,57
98793115,57
73654185,57
129924096,56
13480088,56
66407845,56
84599953,56
95458810,56
11342466,56
6765647,56
177841604,56
60785363,56
89889319,56
165218014,56
66342314,56
10429,56
178855681,56
18796328,56
84321142,56
84172603,56
95265970,56
52440733,56
75985602,56
129926413,56
64375867,56
69681267,56
195280699,55
187123853,55
50970474,55
8528033,55
115716702,55
40264049,55
95900252,55
33213512,55
14390894,55
141310401,55
64111837,55
53762796,55
129916484,55
135054775,55
26093821,55
10084,55
121726805,55
117064993,55
100490403,55
19517813,55
43705414,55
127663171,54
54766203,54
46764603,54
7190564,54
28622157,54
88030773,54
116348362,54
18784836,54
68986766,54
85648725,54
66375902,54
178877065,54
107126490,54
84711793,54
2831130,54
113968118,54
145169506,54
182940467,54
115506599,54
52377417,54
1770728,54
149160743,53
110868129,53
16175883,53
84549626,53
188553471,53
113959554,53
71231558,53
91087848,53
104802142,53
6123613,53
152973898,53
93363430,53
46313738,53
47368929,53
129017308,53
50972539,53
21258967,53
173699291,53
75715238,53
10228730,53
8121841,53
95745694,52
177607703,52
88696854,52
16727847,52
20647785,52
129018264,52
116704504,52
34420137,52
135011195,52
140206880,52
116348300,52
9466594,52
60861743,52
110641390,52
120705516,52
211245313,52
102338025,52
40263847,52
4148913,52
132656364,52
42818,52
170949061,52
155145623,51
51526935,51
56418,51
133025743,51
161916446,51
29238486,51
117079252,51
50969655,51
60863495,51
86947704,51
100694836,51
151556698,51
98793077,51
110880222,51
9937200,51
191000229,51
127922691,51
11241526,51
125017117,51
133464895,51
8834405,51
80905280,51
82589739,51
161170765,51
4303950,51
109829378,51
77421422,51
70048665,51
1134916,51
77673254,51
99836251,50
122459518,50
1806841,50
26224654,50
12664830,50
165297714,50
192927850,50
722132,50
128330861,50
38015541,50
131438538,50
20748531,50
8930674,50
112827382,50
48125852,50
4570538,50
187570150,50
161670455,50
64917226,50
140734005,50
50969203,50
32727115,50
67017307,50
62374610,50
201015462,50
66630848,50
165259123,50
11051083,49
30101615,49
130920944,49
83091054,49
171700704,49
110868046,49
48686569,49
12537642,49
65474765,49
75777312,49
1748316,49
17922709,49
939904,49
130117958,49
132964122,49
133589870,49
32303717,48
96680288,48
19067694,48
59846544,48
72368641,48
131387639,48
89955089,48
9175583,48
40170799,48
40384408,48
102870617,48
62395537,48
66326846,48
85419027,48
88685658,48
98529801,48
153557550,48
66484404,48
28812758,48
51771903,48
135054321,48
90483698,48
10498480,47
140447375,47
87010852,47
132042151,47
84652429,47
24756972,47
22587672,47
162297388,47
28079679,47
49092904,47
533943,47
96879386,47
12852945,47
90340597,47
28983203,47
139260592,47
134972689,47
71007784,47
153745158,47
135041637,47
30101748,47
139003724,47
131669646,47
16618662,47
8362239,47
98793120,47
183667466,47
16232314,47
163743165,47
45084184,47
105953765,47
130101638,47
95570154,47
98540060,47
93952110,47
50978451,47
119544181,47
173478708,47
86572177,47
9372692,47
116348306,46
181050132,46
21033357,46
171640191,46
134972260,46
67099682,46
135054877,46
130920806,46
6890811,46
14548350,46
168007921,46
107418846,46
9719059,46
13511,46
156050887,46
131671186,46
146141301,46
10206302,46
23076960,46
72368689,46
75757672,46
40263807,46
97168062,46
63888299,46
72191878,46
6285560,46
119769260,45
65884825,45
155143347,45
114079188,45
49819997,45
9208160,45
1898080,45
95273673,45
64514324,45
188695666,45
96757783,45
141003071,45
45084125,45
83767579,45
53742368,45
32736674,45
178578477,45
26958215,45
169900916,45
91088261,45
59601323,45
5255815,45
162765436,45
141606045,45
188383142,45
154580121,45
102293507,45
50969033,45
141601963,45
160280428,45
82436100,45
45084333,45
103741069,45
138762857,45
185229671,44
69889747,44
118949474,44
101573405,44
173798766,44
64394225,44
138810304,44
141003148,44
67162407,44
69583373,44
141602074,44
91542691,44
192921533,44
135041810,44
116348370,44
61978612,44
141602225,44
118981067,44
129681190,44
18784747,44
162227755,44
40262908,44
208265257,44
9664839,44
32333759,44
10185414,44
128198272,44
119751663,44
87828817,44
80006509,44
18584284,44
140613509,44
134596516,44
39539282,44
66391451,44
85315715,44
16399179,44
9837716,44
74666146,43
20577717,43
99831506,43
20101539,43
40205621,43
40204779,43
168577334,43
70474967,43
147123354,43
39899716,43
12695177,43
18796143,43
91223175,43
107234749,43
35583557,43
173718481,43
166339647,43
26299009,43
167906285,43
99893455,43
129017960,43
34229630,43
79552047,43
142669043,43
135111138,43
149254894,43
27301695,43
58853808,43
84547029,43
156491018,43
45869875,43
108064389,43
14646941,43
63329855,43
8926646,42
13448324,42
165028914,42
10563,42
162257632,42
35583249,42
92916214,42
136578408,42
22069582,42
51002382,42
91123657,42
199316386,42
154928691,42
26432438,42
74752093,42
10100,42
120692254,42
96674652,42
86826200,42
7924947,42
7388858,42
195870717,42
116348348,42
134968430,42
169995,42
183462393,42
83767775,42
8566282,42
43860220,42
125915778,42
50969317,42
109630912,42
50203676,42
89889493,42
140511903,41
6778676,41
40264094,41
95193063,41
50986492,41
143584409,41
151349322,41
150526730,41
12692969,41
12666270,41
34923033,41
172186839,41
104245736,41
141602437,41
170285797,41
50968708,41
35551166,41
90336365,41
156352092,41
760726,41
158348930,41
168046193,41
5859677,41
18785091,41
11809607,41
130136652,41
180925001,41
161840722,41
69889199,41
142401765,41
1041321,41
3285661,41
50970203,41
156423439,41
134968985,40
38003378,40
19761496,40
164814142,40
81244397,40
76199702,40
104804207,40
81852948,40
129915253,40
130185807,40
66788521,40
130101553,40
164767303,40
141020473,40
146493368,40
40205423,40
129649797,40
55942169,40
137251611,40
70050159,40
80742853,40
736620,40
135005978,40
19056260,40
145841067,40
84172725,40
82738335,40
129877943,40
95526512,40
5651988,40
132962233,40
180950375,40
64384696,40
130920249,40
88484568,40
156246169,40
28802113,40
104804366,40
168254480,39
165223177,39
60477235,39
135054432,39
47697099,39
129747242,39
165045834,39
12351796,39
5526137,39
66837037,39
190434361,39
133520367,39
171810137,39
85669731,39
141605629,39
111697121,39
41520733,39
80066557,39
109644415,39
78444736,39
81107657,39
104804587,39
99608689,39
153457422,39
13845445,39
162255156,39
128299931,39
56017296,39
138168262,39
179811279,39
16391635,39
62353194,39
162300682,39
169130675,39
122137241,39
53479739,39
15402452,39
129916270,39
65500189,39
143153795,38
19562560,38
58719631,38
58670027,38
117230399,38
98548956,38
64112995,38
32729279,38
131974582,38
49071231,38
132868349,38
110872924,38
171663714,38
51813475,38
39262021,38
158312344,38
131669530,38
85459045,38
64191511,38
189162617,38
64112948,38
81107945,38
60863338,38
180771528,38
129406129,38
156058665,38
104278513,38
166488971,38
63663065,38
28164269,38
202927928,38
20468683,38
162043213,38
68772357,38
116673348,37
53970462,37
180787455,37
130169263,37
90377528,37
26094023,37
40870631,37
77597040,37
109755022,37
641804,37
14146234,37
116615581,37
177500431,37
187342268,37
130128043,37
118548742,37
72564403,37
65920681,37
143259279,37
63526352,37
24889654,37
173710870,37
89251415,37
74565905,37
141605690,37
155299637,37
93363519,37
79829779,37
947259,37
99494989,37
60863422,37
182155268,36
44824084,36
13347981,36
169373788,36
46637860,36
135041868,36
180940063,36
61936730,36
60587222,36
15935038,36
130100254,36
98715664,36
19051557,36
140914317,36
18254273,36
11870800,36
40263913,36
129969285,36
42181947,36
43371822,36
96679836,36
118949267,36
152871252,36
77514650,36
59257412,36
87203163,36
20047492,36
109828634,36
131669178,36
104804492,36
28812867,36
117986593,36
35231159,36
195655303,36
74535895,36
50090018,36
85948343,36
12669187,36
187419135,36
107153763,36
36072106,36
130118966,36
33242381,35
175531295,35
105032290,35
71160099,35
11474437,35
199332428,35
129920652,35
10353,35
146814933,35
151937807,35
171385310,35
173872921,35
129916491,35
115763717,35
29562621,35
6078026,35
135832635,35
95275840,35
122243548,35
79835216,35
44542094,35
155327913,35
141604059,35
11238223,35
64516174,35
76357110,35
10203122,35
104552024,35
77698078,35
129460270,35
55486122,35
74652244,35
121683658,35
68851581,35
46573753,35
152973978,35
29238238,35
62714047,35
77588480,35
15050500,35
134869882,35
14134779,35
112524711,35
100519870,35
173811070,35
133252554,35
30101998,35
50970535,34
64111976,34
11018706,34
73268026,34
140626153,34
64910285,34
150138574,34
135619752,34
12165742,34
2333620,34
100506525,34
30407258,34
165043133,34
189560423,34
60587081,34
24654273,34
181744029,34
49950548,34
187096742,34
5033989,34
90157959,34
28812922,34
93952227,34
51550978,34
135001533,34
79495367,34
35582678,34
168390908,34
58835561,34
92520461,34
130101395,34
139242424,34
83069309,34
126261266,34
40499276,34
64388529,34
19051942,34
67364842,34
151695962,34
82060005,34
137762642,34
81106830,34
48961570,34
129915157,34
119363140,34
190717739,34
65806748,34
138785676,33
1012462,33
85458955,33
50120282,33
9490500,33
143897748,33
163968966,33
86797153,33
50969852,33
18741492,33
131670916,33
16027971,33
129924041,33
8092866,33
135041904,33
66630707,33
116498940,33
137336549,33
883177,33
163120769,33
97167904,33
164948974,33
175116620,33
38990760,33
16732896,33
116499414,33
36099247,33
160281005,33
28159485,32
95137178,32
60315247,32
169416735,32
64881881,32
157025408,32
110879438,32
77517344,32
83401047,32
159879078,32
187350317,32
76362914,32
12709662,32
100029932,32
110179054,32
62707697,32
63346894,32
28287742,32
47444443,32
42413290,32
77578654,32
131671044,32
29650418,32
82574329,32
163279095,32
28619747,32
83091093,32
60489360,32
201421408,32
143584511,32
195531,32
168773485,32
91459669,32
55140420,32
164768074,32
18796234,32
8996761,32
53906676,32
96755478,32
112547542,32
80006336,32
91087778,32
110868589,32
166358110,32
165030850,32
80890996,32
140778045,32
91681600,32
199248999,32
8527682,32
70790444,32
64113407,32
133068644,32
11569559,32
11612863,32
133942249,32
126241811,32
81839251,31
19051639,31
148811005,31
135041701,31
112442162,31
64917141,31
44534512,31
191429248,31
141603963,31
28090352,31
136538841,31
58446009,31
104254476,31
14885158,31
70049866,31
605561,31
76484912,31
19051703,31
62650477,31
118133828,31
42535292,31
63000976,31
182853378,31
151961305,31
154692282,31
15599627,31
128300567,31
117079735,31
110868427,31
131670983,31
30964205,31
127444201,31
83429219,31
9914371,31
109836309,31
162285147,31
110878494,31
108456,31
100682318,31
19174198,31
72568210,31
10923507,31
99779965,31
135032932,31
153460136,31
41246368,31
131669693,31
90158794,31
51554265,31
65885518,31
17424566,31
145496441,31
150553948,31
160220186,31
195863746,31
192608876,31
161964121,31
79731820,31
82269041,31
129926253,31
57934775,31
69838931,30
60867012,30
112844132,30
18487308,30
159726484,30
23374993,30
68477007,30
171916911,30
26234966,30
65740849,30
115712122,30
169105108,30
152911441,30
83764530,30
112397589,30
46703854,30
12165119,30
8368571,30
134968588,30
64388615,30
174494821,30
102371246,30
72376784,30
175673079,30
86446335,30
168087890,30
173508019,30
171561136,30
131669137,30
38970657,30
66862105,30
152460799,30
65551316,30
127248364,30
50970150,30
135041816,30
60314708,30
118949170,30
65926726,30
190400231,30
145273526,30
156051324,30
66391375,30
58548556,30
178841321,30
78732711,30
146813809,30
83408312,30
156563362,30
141604269,30
119012785,30
77517414,30
156733665,30
20469877,30
130117904,30
76357052,29
76501592,29
141025402,29
46638051,29
168334632,29
62947690,29
80006565,29
46313609,29
106390802,29
30988457,29
7599518,29
63371453,29
26598379,29
1721658,29
107907122,29
53486257,29
78386762,29
43282896,29
29194590,29
26030484,29
29056338,29
27121976,29
42033893,29
84706933,29
52494327,29
141020058,29
98799716,29
3711886,29
88690268,29
97083776,29
107914233,29
951842,29
41292894,29
54593928,29
107234524,29
127826454,29
68766530,29
130170566,29
66408413,29
20774891,29
10233884,29
130920653,29
12164287,29
63840676,29
161277691,29
98793136,29
64111812,29
188311653,29
164068108,29
3215227,29
129968821,29
54415227,29
163351748,29
1017401,29
12990524,29
129618087,29
34415688,29
73692987,29
165031077,29
81072776,29
28808878,29
66534395,29
98793095,29
118978927,29
158638942,29
129926387,28
1273443,28
43523925,28
46313668,28
38421426,28
140392953,28
50968509,28
152254221,28
138638581,28
62374132,28
19052512,28
169901104,28
151343326,28
95130073,28
41463061,28
130665582,28
86446574,28
197191551,28
30996,28
79668094,28
159127371,28
115725416,28
4381617,28
45107936,28
113952741,28
134972139,28
180518077,28
53613428,28
64516548,28
119690532,28
43271239,28
26971929,28
55916103,28
160356872,28
11211738,28
53635011,28
19849039,28
156741106,28
164684915,28
60491277,28
164763842,28
36045337,28
111898923,28
110891405,28
58548620,28
118975211,28
117919981,28
798888,28
66861680,28
169190699,28
96459080,28
134972865,28
89746709,28
130920557,28
195860965,28
129878058,28
77597123,28
112253949,28
119309887,28
87163250,28
205037235,28
57775788,28
111405200,28
130117533,28
80708712,28
121384006,28
43432554,27
119390875,27
127826263,27
140187886,27
133088472,27
173155851,27
115725565,27
70009992,27
72567956,27
19083596,27
121729958,27
195863546,27
20466100,27
23304655,27
17381012,27
156008010,27
139261173,27
126018672,27
145864357,27
129222370,27
92937409,27
196045387,27
79057741,27
135041631,27
92727875,27
187093699,27
150218066,27
79840464,27
208612806,27
10915793,27
36362859,27
91638688,27
75769854,27
141920710,27
139260885,27
32984622,27
60785436,27
121001738,27
165339476,27
97323667,27
116916432,27
60861695,27
84158377,27
29523909,27
83213498,27
118548804,27
80006964,27
24515275,27
26224593,27
102730283,27
91088086,27
61758240,27
14710,27
170545168,27
83083657,27
130118802,27
39934542,27
144531167,27
60867098,27
138757015,27
68735256,27
116342517,27
180939133,27
135055029,27
147508069,27
89124819,27
98146413,26
6042309,26
77514575,26
26513810,26
85459176,26
8966656,26
13735592,26
165031280,26
63445331,26
127236302,26
64112541,26
137560406,26
58548192,26
10278029,26
44267597,26
7166715,26
18584244,26
75405973,26
86368642,26
3464036,26
56455906,26
40499758,26
16175676,26
90335842,26
149725779,26
96729300,26
58543215,26
152911125,26
166598455,26
106490598,26
60576191,26
121804373,26
186526360,26
83767795,26
68609828,26
193662472,26
129969213,26
130169187,26
88487045,26
169097258,26
86997551,26
114952011,26
126587078,26
85459112,26
89114465,26
130946507,26
82619948,26
33521018,26
188359661,26
10074201,26
169900491,26
60586130,26
45084281,26
140130382,26
18174855,26
95134473,26
98793150,26
133520049,26
63665185,26
87063118,26
130118362,26
141603370,26
134972530,26
14145886,26
9004534,26
80006666,26
91788719,25
26093863,25
97323655,25
84172634,25
40262957,25
60864699,25
164125394,25
151146454,25
1005535,25
92524217,25
18092986,25
182622636,25
115725491,25
131670195,25
112546691,25
12995084,25
40262992,25
28180460,25
183207190,25
129924382,25
175753933,25
195068512,25
94461134,25
7549378,25
41252210,25
74696826,25
129736267,25
96675020,25
23958390,25
119390938,25
47867826,25
90336709,25
19406753,25
132956305,25
173237138,25
170480649,25
164763969,25
96561202,25
823357,25
91659311,25
26637605,25
30572430,25
116538958,25
18229789,25
73834330,25
177566494,25
108072421,25
171407673,25
78658108,25
639650,25
169002348,25
60866927,25
141522953,25
75637606,25
150209213,25
48567203,25
135055174,25
33218044,25
191295119,25
178496438,25
48702598,25
92514114,25
42427435,25
115725524,25
8808060,25
50969402,25
162226376,25
12536959,25
65034383,25
86416733,25
93360016,25
28090664,25
70509505,25
176460316,25
2395380,25
105064701,24
30740749,24
13056041,24
91679894,24
193475287,24
190648689,24
171196974,24
4323502,24
50970338,24
151865393,24
104802096,24
39150258,24
84559811,24
116524015,24
118139770,24
80091569,24
149729734,24
2626302,24
21222538,24
60341714,24
140311744,24
8809291,24
133529235,24
151938290,24
112546888,24
49949368,24
58548741,24
31102571,24
43596797,24
141510839,24
104590472,24
60864445,24
70524651,24
8605274,24
40510269,24
89660481,24
50969263,24
130119029,24
9853874,24
157633413,24
179800924,24
112458252,24
91087923,24
60315503,24
28161625,24
116623733,24
66342952,24
10186,24
28802011,24
129919672,24
28090512,24
61595324,24
26224631,24
133255677,24
129916519,24
172458510,24
1058775,24
102114982,24
6045602,24
18185692,24
70509589,24
152569117,24
162174875,24
63684563,24
111343935,24
163749259,24
5696946,24
129727012,24
9465894,24
163786659,24
91088177,24
95139064,23
130919756,23
97323717,23
49802667,23
23811567,23
109890037,23
84533748,23
45512569,23
86693216,23
139383672,23
1268545,23
50115967,23
36967806,23
88711335,23
135011137,23
79217371,23
9109593,23
316121,23
155276248,23
110641297,23
109869442,23
172406176,23
170580789,23
98758925,23
136074046,23
168917434,23
164839925,23
72112289,23
7368228,23
81853031,23
64191620,23
88405238,23
147173673,23
48697397,23
176338861,23
59472057,23
77581648,23
143899629,23
77529949,23
38986004,23
180410142,23
115712279,23
1022508,23
61808548,23
87879785,23
182852081,23
83102532,23
83089311,23
104593417,23
64113230,23
86446806,23
135054284,23
83101101,23
115712290,23
161578076,23
64394458,23
183462487,23
39146716,23
48258478,23
104590245,23
14722991,23
106050474,23
135055103,23
165030915,23
112253000,23
52762675,23
74263309,23
69020969,23
38288574,23
90501721,23
90904399,23
66861780,23
7610832,23
64394634,23
116462858,23
164767943,23
21252442,23
165031139,23
112524719,23
89124187,23
148866409,23
50922062,23
145016144,23
186984275,23
80102990,23
143860372,23
135053592,23
82574338,23
72315293,23
50122931,23
151364870,23
161206002,23
14509611,23
163828968,23
64917281,23
180626595,23
116348321,23
58860264,23
120594535,23
176101708,23
52444305,23
2044873,23
135041876,23
60312565,23
170580942,22
10333904,22
127662834,22
115725303,22
129506077,22
117078931,22
60861784,22
133519587,22
163341072,22
121729824,22
116658682,22
10127469,22
18784939,22
87845635,22
76221969,22
137321119,22
2445250,22
99067259,22
131906343,22
19041109,22
106944106,22
115725450,22
93951065,22
173603112,22
84664888,22
73608513,22
7303211,22
155288806,22
50968953,22
94636,22
186234213,22
114053150,22
81252550,22
66861586,22
135662582,22
135041779,22
29391773,22
85965530,22
121804293,22
23714713,22
60431863,22
50968349,22
167457217,22
40263031,22
3937614,22
124575068,22
156292400,22
100251293,22
13451191,22
10010348,22
105095759,22
127836898,22
25958872,22
129746727,22
65319119,22
22656521,22
43524060,22
80914308,22
104801721,22
19811463,22
74286996,22
50834422,22
96664410,22
164938318,22
131670493,22
23934541,22
98705037,22
25958852,22
19068115,22
30740877,22
16687218,22
6904196,22
19068020,22
108324022,22
124120055,22
49947211,22
192218065,22
115109930,22
34275528,22
102733707,22
109790045,22
93950041,22
121729278,22
84646493,22
152247590,22
36368241,22
135041898,22
12166345,22
27377455,22
182890233,22
81070087,22
195870297,22
6940844,22
186661539,22
87037631,22
9944513,22
141602779,22
140625609,22
98529535,22
100115134,22
137490898,22
140589385,22
111231880,22
200919198,22
22886785,22
229055,21
52512169,21
60314474,21
141602338,21
153685129,21
98481320,21
189031483,21
128165859,21
86788326,21
116321341,21
83102630,21
38323741,21
118949192,21
27649,21
133342413,21
173315636,21
142360582,21
142368518,21
135041606,21
21030308,21
20175892,21
93950114,21
190506382,21
130099581,21
51487338,21
16573133,21
65453156,21
143899665,21
95302151,21
58597745,21
133463403,21
127248585,21
86788265,21
131670102,21
193421164,21
58543519,21
6152198,21
22658223,21
151932465,21
4669871,21
80108,21
29238412,21
63840599,21
7303570,21
148821394,21
93951158,21
112524733,21
81107569,21
127248719,21
100030014,21
151409130,21
100489551,21
26167835,21
157976199,21
74803479,21
75323966,21
141605375,21
90336011,21
17674116,21
8076673,21
63673912,21
60463625,21
89251719,21
76630020,21
84172637,21
129924062,21
32804560,21
153152129,21
53613331,21
30730528,21
27842629,21
103741800,21
143897900,21
22973139,21
62666720,21
45870194,21
82269223,21
68973439,21
50115393,21
5652214,21
130118587,21
122566721,21
11272000,21
98700387,21
60864657,21
36596985,21
53763084,21
85965597,21
135041835,21
10153,21
44824309,21
